Tue Apr 30 00:40:07 2024    profile_results.prof

         123280698 function calls (122838937 primitive calls) in 653.347 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   109791    0.165    0.000    0.510    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1858(maybe_coerce_values)
    16320    0.016    0.000    0.503    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:305(_text_width)
    16376    0.116    0.000    0.486    0.000 {built-in method builtins.sum}
   141365    0.344    0.000    0.460    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:233(__init__)
    31706    0.046    0.000    0.446    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:3860(_box_col_values)
82048/81677    0.071    0.000    0.445    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
    77881    0.248    0.000    0.430    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:2545(<listcomp>)
    95104    0.386    0.000    0.429    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:605(_simple_new)
    77901    0.148    0.000    0.406    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\_config\config.py:96(_get_single_key)
  1863229    0.292    0.000    0.404    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\common.py:155(cast_scalar_indexer)
    31698    0.029    0.000    0.404    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\ops.py:1310(__iter__)
   109611    0.147    0.000    0.392    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:627(name)
   197/11    0.000    0.000    0.373    0.034 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\typing\context.py:153(refresh)
  1549558    0.260    0.000    0.371    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:306(<genexpr>)
        1    0.000    0.000    0.366    0.366 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler.py:397(__init__)
    77884    0.139    0.000    0.355    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:3025(host_pointer)
    77/47    0.000    0.000    0.355    0.008 <frozen importlib._bootstrap>:1002(_find_and_load)
    58/28    0.000    0.000    0.354    0.013 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    94/28    0.000    0.000    0.350    0.012 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    57/28    0.000    0.000    0.347    0.012 <frozen importlib._bootstrap>:659(_load_unlocked)
    57/28    0.000    0.000    0.346    0.012 <frozen importlib._bootstrap_external>:844(exec_module)
    37/24    0.000    0.000    0.335    0.014 {built-in method builtins.__import__}
    57/28    0.000    0.000    0.333    0.012 {built-in method builtins.exec}
        1    0.000    0.000    0.332    0.332 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:858(_list_of_dict_to_arrays)
   834414    0.241    0.000    0.316    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\generic.py:43(_check)
   389423    0.106    0.000    0.315    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:2181(__getattr__)
   469269    0.160    0.000    0.314    0.000 C:\Users\Nihal\anaconda3\lib\logging\__init__.py:1424(debug)
