Tue Apr 30 23:32:51 2024    profile_results.prof

         381888991 function calls (379409861 primitive calls) in 5438.124 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   950468    2.029    0.000    2.812    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\types.py:76(<lambda>)
2993168/2990915    2.768    0.000    2.769    0.000 {built-in method _abc._abc_subclasscheck}
    31694    0.112    0.000    2.709    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:1735(_get_label_or_level_values)
    82662    0.093    0.000    2.661    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:305(_text_width)
   135779    2.647    0.000    2.647    0.000 {built-in method torch.narrow}
   135779    0.459    0.000    2.634    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\utils\internal.py:920(extract_edge_subframes)
    82733    0.608    0.000    2.568    0.000 {built-in method builtins.sum}
  1222032    1.072    0.000    2.359    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\types.py:74(<lambda>)
   135785    0.413    0.000    2.349    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:198(<listcomp>)
        2    2.347    1.174    2.347    1.174 {built-in method _pickle.load}
   407343    0.284    0.000    2.346    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\graph_index.py:174(num_edges)
   155798    0.130    0.000    2.338    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devices.py:130(get_or_create_context)
    31699    0.053    0.000    2.306    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:629(reindex_indexer)
       75    0.002    0.000    2.297    0.031 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:276(apply)
   135785    0.273    0.000    2.283    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:206(<listcomp>)
       62    0.000    0.000    2.272    0.037 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:461(to_native_types)
      363    2.272    0.006    2.272    0.006 {method 'astype' of 'numpy.ndarray' objects}
      168    0.002    0.000    2.270    0.014 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:638(to_native_types)
   271558    1.418    0.000    2.269    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\function.py:258(_handle_return_func)
    31694    0.041    0.000    2.266    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:3634(xs)
