Sun Apr 28 19:45:48 2024    profile_results.prof

         1411520288 function calls (1401943756 primitive calls) in 5514.599 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1765136    6.125    0.000   30.323    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:465(zerocopy_from_dgl_ndarray)
 13023570   13.060    0.000   29.503    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:5489(__setattr__)
        3    2.698    0.899   27.894    9.298 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process.py:190(count_risk_neighs)
   407337    0.350    0.000   25.712    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:222(cat)
   407343   25.370    0.000   25.370    0.000 {built-in method torch.cat}
  3504757    8.315    0.000   23.935    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:259(_isna_string_dtype)
   407337    1.174    0.000   23.875    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:444(has_nodes)
  3504653    7.515    0.000   23.537    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\algorithms.py:103(_ensure_data)
   245362    0.547    0.000   23.247    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1157(__iter__)
  3504649    5.733    0.000   22.843    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\algorithms.py:183(_reconstruct_data)
   135779    0.673    0.000   22.594    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:3089(successors)
  1231607    3.044    0.000   21.472    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:950(take)
 72099366   15.268    0.000   20.255    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\generic.py:43(_check)
  9504881   19.411    0.000   19.411    0.000 {built-in method numpy.empty}
   135779    0.829    0.000   19.298    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:1182(_create_hetero_subgraph)
 10514603    4.346    0.000   19.212    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\base.py:263(is_dtype)
  1199913   10.113    0.000   17.668    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexers.py:249(maybe_convert_indices)
  4768093   11.778    0.000   17.260    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:5435(__finalize__)
  1222020    0.983    0.000   16.938    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:2833(idtype)
51277634/42906300    7.428    0.000   16.405    0.000 {built-in method builtins.len}
    28468    0.350    0.000   15.888    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1195(update)
  3614745    4.706    0.000   15.706    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1858(maybe_coerce_values)
  1222020    1.022    0.000   15.443    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:178(dtype)
    28476    0.144    0.000   15.295    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1322(refresh)
  1168215    1.198    0.000   15.283    0.000 <__array_function__ internals>:177(where)
  1231607    1.348    0.000   15.246    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\algorithms.py:1427(take)
1234047/1234029   14.040    0.000   15.048    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    28484    0.119    0.000   14.723    0.001 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1461(display)
  7229570    3.029    0.000   14.683    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\construction.py:369(extract_array)
  4768144    2.379    0.000   14.419    0.000 {method 'any' of 'numpy.ndarray' objects}
   135779   14.102    0.000   14.102    0.000 {built-in method torch.isin}
   814683    0.366    0.000   14.041    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\__init__.py:141(to_dgl_nd)
   814689    1.338    0.000   13.711    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:432(zerocopy_to_dgl_ndarray)
   135779    0.397    0.000   13.593    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:1194(induced_edges)
  4704708    5.049    0.000   13.496    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1264(is_bool_dtype)
  3599782    7.487    0.000   13.376    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\array_algos\take.py:517(_take_preprocess_indexer_and_fill_value)
  3504761    2.424    0.000   13.202    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:422(is_period_dtype)
  1168231   13.066    0.000   13.066    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
  1231663   12.518    0.000   12.518    0.000 {method 'take' of 'numpy.ndarray' objects}
  4768146    1.557    0.000   12.041    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numpy\core\_methods.py:55(_any)
  1168227    3.695    0.000   11.725    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4728(equals)
