Mon Apr 29 22:09:27 2024    profile_results.prof

         124232351 function calls (123790590 primitive calls) in 804.139 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.824    0.824 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:905(compile)
    78158    0.804    0.000    0.804    0.000 {built-in method numpy.array}
     28/1    0.000    0.000    0.797    0.797 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
        1    0.000    0.000    0.797    0.797 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:46(__init__)
    77901    0.119    0.000    0.773    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\_config\config.py:114(_get_option)
    63392    0.124    0.000    0.724    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:950(take)
    77893    0.395    0.000    0.723    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1483(maybe_infer_to_datetimelike)
    78215    0.220    0.000    0.719    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1890(get_block_type)
        2    0.000    0.000    0.688    0.344 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:491(read_csv)
        2    0.002    0.001    0.688    0.344 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:467(_read)
    20673    0.021    0.000    0.681    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:309(disp_len)
        2    0.000    0.000    0.672    0.336 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:1045(read)
        1    0.000    0.000    0.670    0.670 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\compiler.py:152(compile_cuda)
        1    0.000    0.000    0.670    0.670 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler.py:725(compile_extra)
   109589    0.160    0.000    0.667    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3317(get_loc)
        5    0.000    0.000    0.655    0.131 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:837(__init__)
   219672    0.118    0.000    0.654    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\construction.py:369(extract_array)
        4    0.000    0.000    0.652    0.163 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\groupby.py:594(__len__)
        4    0.000    0.000    0.652    0.163 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\groupby.py:603(groups)
        4    0.000    0.000    0.652    0.163 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\ops.py:882(groups)
        4    0.001    0.000    0.652    0.163 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\grouper.py:675(groups)
   389408    0.318    0.000    0.651    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devicearray.py:199(device_ctypes_pointer)
    20673    0.021    0.000    0.632    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:305(_text_width)
        2    0.000    0.000    0.631    0.316 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:220(read)
110482/110438    0.190    0.000    0.630    0.000 C:\Users\Nihal\anaconda3\lib\contextlib.py:123(__exit__)
    95087    0.068    0.000    0.627    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:232(fill_value)
        4    0.003    0.001    0.627    0.157 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5458(groupby)
        2    0.601    0.301    0.618    0.309 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
    20729    0.143    0.000    0.611    0.000 {built-in method builtins.sum}
2922602/2922553    0.520    0.000    0.608    0.000 {built-in method builtins.getattr}
        4    0.015    0.004    0.603    0.151 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5481(<dictcomp>)
   311524    0.192    0.000    0.596    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\args.py:66(wrap_arg)
    31698    0.047    0.000    0.590    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\range.py:434(take)
   141365    0.418    0.000    0.558    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:233(__init__)
    95093    0.095    0.000    0.541    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:552(na_value_for_dtype)
    31698    0.038    0.000    0.532    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\ops.py:729(get_iterator)
   109791    0.181    0.000    0.531    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1858(maybe_coerce_values)
82048/81677    0.092    0.000    0.527    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
  1960372    0.327    0.000    0.468    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:306(<genexpr>)
    77901    0.173    0.000    0.462    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\_config\config.py:96(_get_single_key)
    31706    0.048    0.000    0.456    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:3860(_box_col_values)
    95104    0.397    0.000    0.440    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:605(_simple_new)
   109611    0.166    0.000    0.430    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:627(name)
    77881    0.254    0.000    0.429    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:2545(<listcomp>)
  1863229    0.301    0.000    0.421    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\common.py:155(cast_scalar_indexer)
    77/47    0.000    0.000    0.414    0.009 <frozen importlib._bootstrap>:1002(_find_and_load)
    58/28    0.000    0.000    0.413    0.015 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    94/28    0.000    0.000    0.408    0.015 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    57/28    0.000    0.000    0.407    0.015 <frozen importlib._bootstrap>:659(_load_unlocked)
    57/28    0.000    0.000    0.406    0.015 <frozen importlib._bootstrap_external>:844(exec_module)
    77884    0.157    0.000    0.404    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:3025(host_pointer)
    31698    0.030    0.000    0.400    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\ops.py:1310(__iter__)
   197/11    0.000    0.000    0.392    0.036 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\typing\context.py:153(refresh)
    57/28    0.000    0.000    0.386    0.014 {built-in method builtins.exec}
    78217    0.258    0.000    0.386    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:190(is_sparse)
        1    0.000    0.000    0.386    0.386 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler.py:397(__init__)
    37/24    0.000    0.000    0.356    0.015 {built-in method builtins.__import__}
        1    0.000    0.000    0.338    0.338 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:858(_list_of_dict_to_arrays)
        2    0.000    0.000    0.337    0.169 C:\Users\Nihal\anaconda3\lib\site-packages\scipy\io\matlab\_mio.py:86(loadmat)
        2    0.000    0.000    0.335    0.168 C:\Users\Nihal\anaconda3\lib\site-packages\scipy\io\matlab\_mio5.py:294(get_variables)
       12    0.000    0.000    0.334    0.028 C:\Users\Nihal\anaconda3\lib\site-packages\scipy\io\matlab\_mio5.py:275(read_var_array)
       12    0.333    0.028    0.334    0.028 {method 'array_from_header' of 'scipy.io.matlab._mio5_utils.VarReader5' objects}
   389423    0.117    0.000    0.332    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:2181(__getattr__)
   834414    0.258    0.000    0.331    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\generic.py:43(_check)
    95166    0.214    0.000    0.318    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:5435(__finalize__)
   469269    0.184    0.000    0.315    0.000 C:\Users\Nihal\anaconda3\lib\logging\__init__.py:1424(debug)
